,t,HbO2,HHb,SaO2sup,P_a,temp,CCO,Hbdiff,HbT
411,4207.0,-0.7114671384065723,1.440611868065524,0.999999997635219,47.103488739120436,34.267184582604294,0.14925262246808502,-2.1520790064720963,0.7291447296589517
412,4217.0,-0.7114464217719751,1.4412391886399298,0.9999999984836522,47.08224729289602,34.256397693408445,0.14612652322404673,-2.152685610411905,0.7297927668679547
413,4227.0,-0.7111938301097815,1.4421128843965354,0.9999999992887615,47.061005846671605,34.24591678063179,0.14332330658499615,-2.153306714506317,0.7309190542867539
414,4238.0,-0.7106097040794221,1.4430936378259416,0.999999999320713,47.037640255824755,34.23572184578271,0.1408306115901996,-2.1537033419053637,0.7324839337465194
415,4248.0,-0.7095977019261399,1.4440416781243872,0.99999999934976,47.01639880960034,34.225789317784155,0.1386316723297416,-2.153639380050527,0.7344439761982473
416,4258.0,-0.7080667053867495,1.4448198822537748,0.9999999993788069,46.995157363375924,34.216092694152806,0.13670576018451852,-2.1528865876405243,0.7367531768670252
417,4269.0,-0.7059326536231199,1.4452968163666258,0.9999999994107586,46.971791772529066,34.20660322131607,0.1350286907801026,-2.1512294699897456,0.7393641627435059
418,4279.0,-0.7031202767316698,1.4453496510873727,0.9999999994398054,46.95055032630465,34.19729059396557,0.13357338503960903,-2.1484699278190424,0.7422293743557029
419,4289.0,-0.6995647004296988,1.4448668867140677,0.9999999994688522,46.929308880080235,34.188123654239824,0.1323104728779123,-2.1444315871437665,0.745302186284369
420,4299.0,-0.6952128932973327,1.443750828046241,0.9999999994978992,46.90806743385582,34.179071072939,0.13120892739542822,-2.1389637213435737,0.7485379347489083
421,4310.0,-0.6900249276993602,1.441919753238139,0.9999999995298507,46.88470184300896,34.17010199678341,0.1302367169265859,-2.131944680937499,0.7518948255387787
422,4320.0,-0.6839750255677828,1.4393097268317927,0.9999999995588977,46.863460396784546,34.161186647827925,0.12936146200588672,-2.1232847523995755,0.7553347012640099
423,4330.0,-0.6770523610018984,1.4358760139708924,0.9999999995879446,46.84221895056013,34.152296863439624,0.1285510842657085,-2.1129283749727907,0.758823652968994
424,4340.0,-0.6692615935186028,1.4315940607696742,0.9999999996169916,46.820977504335715,34.14340656764951,0.12777443449045345,-2.100855654288277,0.7623324672510714
425,4351.0,-0.6606231090189878,1.4264600149094404,0.9999999996489431,46.79761191348886,34.134492167127114,0.12700188751350416,-2.087083123928428,0.7658369058904526
426,4361.0,-0.6511729502381343,1.4204907706769854,0.99999999967799,46.77637046726444,34.12553286743451,0.12620589234209767,-2.0716637209151196,0.7693178204388511
427,4371.0,-0.6409624246157231,1.413723533678393,0.999999999707037,46.75512902104003,34.11651090754299,0.12536146682700067,-2.054685958294116,0.77276110906267
428,4382.0,-0.6300573850895761,1.4062149121273917,0.9999999997389886,46.73176343019317,34.107411712799404,0.1244466273664564,-2.036272297216968,0.7761575270378156
429,4392.0,-0.6185371880983865,1.3980395536279246,0.9999999997680356,46.71052198396875,34.09822396857307,0.12344274555499002,-2.016576741726311,0.7795023655295381
430,4402.0,-0.6064933427820067,1.389288358386759,0.9999999997970823,46.68928053774434,34.08893961866709,0.12233482535285534,-1.9957817011687657,0.7827950156047523
431,4412.0,-0.5940278755507373,1.3800663113896539,0.9999999998261292,46.66803909151992,34.07955379421048,0.12111169623099771,-1.9740941869403912,0.7860384358389165
432,4423.0,-0.5812514442938523,1.3704899868147438,0.9999999998580809,46.64467350067307,34.07006468012959,0.11976611976940754,-1.951741431108596,0.7892385425208914
433,4433.0,-0.5682812458534707,1.3606847874100243,0.9999999998871277,46.62343205444866,34.06047332739361,0.11829480924468294,-1.928966033263495,0.7924035415565536
434,4443.0,-0.55523876834547,1.3507819893381647,0.9999999999161747,46.60219060822424,34.05078342000564,0.11669836371736908,-1.9060207576836348,0.7955432209926947
435,4454.0,-0.5422474459334365,1.3409156687584254,0.9999999999481263,46.57882501737738,34.041001006144555,0.11498111993745819,-1.883163114691862,0.7986682228249888
436,4464.0,-0.529430277413379,1.3312195898974561,0.999999999702875,46.55758357115297,34.031134202956196,0.1131509269985902,-1.8606498673108351,0.8017893124840771
437,4474.0,-0.5169074712592252,1.3218241353417879,0.9999999994864943,46.53634212492855,34.02119288427206,0.11121885009450216,-1.838731606601013,0.8049166640825627
438,4484.0,-0.5047941785187939,1.3128533576331582,0.9999999993014101,46.51510067870414,34.01118836004662,0.10919881096976924,-1.8176475361519522,0.8080591791143643
439,4495.0,-0.49319837113561693,1.3044222269665822,0.999999999149089,46.49173508785728,34.00113305560235,0.10710717369491518,-1.797620598102199,0.8112238558309652
440,4505.0,-0.4822189170496367,1.2966341430489718,0.9999999990300914,46.470493641632864,33.9910401979052,0.10496228521032824,-1.7788530600986086,0.8144152259993351
441,4515.0,-0.4719438951425756,1.2895787702847343,0.9999999989441433,46.466045646448535,33.98092351510725,0.10278398067418526,-1.76152266542731,0.8176348751421587
442,4525.0,-0.4624491832858775,1.283330244820216,0.9999999988902188,46.4504282617318,33.97079695453347,0.10059306405974766,-1.7457794281060934,0.8208810615343385
443,4536.0,-0.4537973421146875,1.2779457900751048,0.999999998866633,46.42419306334743,33.960674423199364,0.0984107747503673,-1.7317431321897923,0.8241484479604173
444,4546.0,-0.44603680643133625,1.2734647647512531,0.9999999988711429,46.388119566931806,33.950569553873706,0.09625825114069397,-1.7195015711825894,0.8274279583199169
445,4556.0,-0.43920138599592207,1.2699081545015671,0.9999999989010502,46.34317676931516,33.94049549869147,0.09415600248848532,-1.7091095404974892,0.8307067685056451
446,4567.0,-0.43331006837102404,1.2672785059833922,0.9999999989533075,46.29048304604632,33.93046475141581,0.09212340043996514,-1.7005885743544162,0.8339684376123682
447,4577.0,-0.42836710873066686,1.2655602903158432,0.9999999990246219,46.231265493618444,33.920488998669306,0.09017820171173452,-1.69392739904651,0.8371931815851763
448,4587.0,-0.42436238522600433,1.2647206722711086,0.9999999991115562,46.16681974384586,33.91057899980936,0.08833611328585445,-1.689083057497113,0.8403582870451043
449,4597.0,-0.42127199360707746,1.264710652003802,0.9999999992106224,46.098471198162834,33.90074449460163,0.08661041108617562,-1.6859826456108795,0.8434386583967246
450,4608.0,-0.4190590512815717,1.2654665378409824,0.9999999993183674,46.027538532733715,33.890994137430994,0.08501162236811055,-1.6845255891225541,0.8464074865594107
451,4618.0,-0.41767467886957643,1.2669117016654923,0.9999999994314522,45.95530021208883,33.88133545646335,0.08354728089811192,-1.6845863805350687,0.8492370227959158
452,4628.0,-0.4170591267266044,1.268958562751461,0.9999999995467205,45.88296462202406,33.87177483591463,0.08222176238715506,-1.6860176894780654,0.8518994360248566
453,4638.0,-0.41714301501827933,1.271510741572083,0.9999999996612564,45.81164429630698,33.86231751938073,0.08103620556857183,-1.6886537565903623,0.8543677265538037
454,4649.0,-0.4178486587314696,1.2744653221606663,0.9999999997724314,45.74233457141492,33.852967632022136,0.0799885217815759,-1.692313980892136,0.8566166634291967
455,4659.0,-0.419091453137205,1.2777151602438153,0.9999999998779395,45.67589686328329,33.843728219269934,0.07907349298430622,-1.6968066133810202,0.8586237071066103
456,4669.0,-0.420781299924295,1.2811511748814226,0.9999999999758223,45.613046623665596,33.83460129961703,0.07828295492834192,-1.7019324748057176,0.8603698749571276
457,4680.0,-0.42282405853563354,1.2846645640651522,0.9999999999752508,45.554345905921885,33.825587928976894,0.07760605906817886,-1.7074886226007857,0.8618405055295186
458,4690.0,-0.42512301034091227,1.2881488898212812,0.9999999999747311,45.50020035626716,33.816688274037645,0.07702960399498515,-1.7132719001621934,0.8630258794803689
459,4700.0,-0.42758032476445074,1.2915019857313874,0.9999999999742114,45.45086035072192,33.8079016920266,0.07653842503235753,-1.7190823104958382,0.8639216609669367
460,4711.0,-0.43009851639336016,1.2946276490136661,0.9999999999736398,45.406425921018794,33.79922681435401,0.07611582920957916,-1.7247261654070263,0.864529132620306
461,4721.0,-0.43258188076397186,1.2974370897484935,0.9999999999731202,45.36685505259335,33.79066163175,0.07574406209032736,-1.7300189705124653,0.8648552089845216
462,4731.0,-0.43493789447066256,1.2998501207096531,0.9999999999726005,45.33197489200201,33.782203578759194,0.07540479276103573,-1.7347880151803157,0.8649122262389906
