temp,CCO,HbO2,HHb,P_a,SaO2sup,t
38.42904394233675,-1.3746260904834957,-5.1292520648346835,-6.918184974776688,50.4831375,0.99,1235.0
38.41418601329843,-1.3710079400524051,-5.1367314617100375,-6.9153241713485025,48.48560936,0.99,1246.0
38.39920461068585,-1.367260656157901,-5.145124656836357,-6.912474365060677,50.51888706,0.99,1256.0
38.38410144650744,-1.3634656637801974,-5.1540817655981135,-6.909392917863706,54.6304753,0.99,1266.0
38.3688656204706,-1.3597019873688403,-5.163193424008855,-6.905842970043969,50.24243728,0.99,1276.0
38.35347452014613,-1.3560394158997162,-5.1720220129359715,-6.901615057176569,48.91275417,0.99,1286.0
38.337896233498135,-1.3525331665225362,-5.180136981487077,-6.8965472080448444,50.71328876,0.99,1297.0
38.3220932857235,-1.3492206289572692,-5.187150518075435,-6.890541281074286,49.31566774,0.99,1307.0
38.30602732381865,-1.3461204842638923,-5.192749549383152,-6.883573537945247,50.21535318,0.99,1317.0
38.28966422037474,-1.3432341523750788,-5.196720440601464,-6.8756980489502775,49.37009767,0.99,1327.0
38.272978978232864,-1.3405491917547647,-5.198963773307441,-6.867042417302053,50.60302836,0.99,1338.0
38.25595981485946,-1.3380440086844705,-5.1994979868024185,-6.857796324691949,49.66878571,0.99,1348.0
38.238610901170865,-1.3356930782044147,-5.1984521804285055,-6.848194319707033,49.20099186,1.0,1358.0
38.220953410507406,-1.3334718616093784,-5.196049677170143,-6.838494920692169,49.8963185,1.008781219,1368.0
38.20302476392008,-1.3313607322311949,-5.192584820829207,-6.828958398650983,53.36255449,0.99,1378.0
38.18487619502327,-1.3293474680855628,-5.188395844953616,-6.819825540802878,49.57778276,0.99,1389.0
38.16656896419472,-1.32742817963906,-5.183836582615196,-6.811299335710827,51.7381747,0.99,1399.0
38.148169700398135,-1.32560683400519,-5.179249447174283,-6.8035309761872265,50.23693526,0.99,1409.0
38.129745421829384,-1.3238937395427608,-5.174941680527168,-6.796610968920933,50.81564386,0.99,1419.0
38.11135877865931,-1.3223034307895605,-5.171166439603642,-6.790565570837782,49.67538825,0.99,1430.0
38.09306398142401,-1.320852360453476,-5.168109869571965,-6.785358297052762,54.13612367,0.99,1440.0
