P_a,SaO2sup,temp,DHbO2,DHHb,CCO,DHbT,DHbdiff,t
45.0105838542,0.98,33.3016,-4.2784299327,-5.2077210855,-2.3787182694,-9.4861510182,0.9292911529,12084
46.2753119171,0.98,33.2913,-4.367567431,-5.1807420045,-2.3652519764,-9.5483094355,0.8131745735,12095
47.5215934555,0.98,33.2796,-4.3429675042,-5.1916100476,-2.3809597975,-9.5345775518,0.8486425435,12105
43.9933054974,0.98,33.2722,-4.4485752235,-5.1282123864,-2.396210403,-9.5767876099,0.6796371629,12116
45.487507874,0.98,33.2643,-4.417843305,-5.2019046427,-2.3760118372,-9.6197479477,0.7840613377,12126
46.0936764398,0.98,33.2565,-4.5360285271,-5.0921369705,-2.3986670272,-9.6281654976,0.5561084433,12136
48.8118587302,0.98,33.2463,-4.5423720253,-5.1596654729,-2.3837919605,-9.7020374982,0.6172934475,12147
43.6141910995,0.98,33.2385,-4.5791616749,-5.0346941421,-2.4353144148,-9.6138558169,0.4555324672,12157
46.2121366492,0.98,33.2337,-4.6309051426,-5.0905384636,-2.389708079,-9.7214436062,0.4596333209,12168
46.2113328125,0.98,33.2306,-4.578765926,-4.9741421417,-2.4429741644,-9.5529080677,0.3953762157,12178
46.5016746114,0.98,33.2275,-4.6114527083,-5.0273350635,-2.4446021557,-9.6387877718,0.4158823551,12189
43.6810835938,0.98,33.2178,-4.6235914832,-5.0393653312,-2.4272782493,-9.6629568144,0.4157738481,12199
45.3313875,0.98,33.2078,-4.693562543,-4.9999657114,-2.4241096293,-9.6935282544,0.3064031685,12209
45.5946554974,0.98,33.1993,-4.6905302437,-4.9703758056,-2.435258339,-9.6609060493,0.2798455619,12220
50.2820395288,0.98,33.1921,-4.7299097734,-5.0173027989,-2.4022844281,-9.7472125722,0.2873930255,12230
44.8779968586,0.98,33.1803,-4.7226799808,-4.9155840289,-2.4828928619,-9.6382640097,0.1929040482,12241
46.1104854167,0.98,33.1704,-4.8102558016,-5.0054131924,-2.4118747553,-9.815668994,0.1951573908,12251
46.4523157895,0.98,33.1645,-4.8462894813,-4.9575551367,-2.4487613588,-9.803844618,0.1112656554,12262
47.2370564767,0.98,33.1602,-4.9141358336,-4.9292261286,-2.4396416635,-9.8433619622,0.0150902949,12272
45.4905366492,0.98,33.156,-5.0439125076,-4.9315766026,-2.4250210341,-9.9754891103,-0.112335905,12283
46.0994359375,0.98,33.1472,-5.1776252927,-5.2797564856,-2.3158693799,-10.4573817783,0.1021311928,12293
45.5321570313,0.98,33.1394,-5.4330426953,-5.1625745489,-2.3451458427,-10.5956172443,-0.2704681464,12303
45.1280685864,0.98,33.1319,-5.4076255357,-5.0975746619,-2.3470485225,-10.5052001976,-0.3100508738,12314
45.025995288,0.98,33.1252,-5.4033779467,-5.0752923126,-2.3808212184,-10.4786702594,-0.3280856341,12324
