t,DHbO2,DHHb,CCO,DHbT,DHbdiff,CBF,SaO2sup,P_a,temp
144.0,0.7935635393973577,-0.8590080567928098,0.06493275994605284,-0.06544451739544854,1.6525715961901675,0.007379084377939008,1.0,40.1531410958904,38.95223324514063
154.0,0.5975234234459386,-0.4886067722398266,0.06398215059491694,0.10891665120611549,1.0861301956857652,0.007441883773447486,0.99,40.3236870748299,38.95207865555037
164.0,1.4148847436642136,-0.898985826033627,0.0657823901319588,0.5158989176305866,2.3138705696978406,0.007844371231099757,0.99,44.5021135416667,38.95161193410428
174.0,0.10264498384736953,-0.3719196398229663,0.06354241237466085,-0.2692746559756003,0.4745646236703358,0.007333045809349413,0.99,40.3380714285714,38.95075805259355
184.0,0.6620991087789143,-0.5153924552567908,0.06422782080906887,0.14670665352212353,1.177491564035705,0.007464598922316858,0.99,40.48755,38.949442803638114
195.0,0.6702506416544836,-0.49962980615200436,0.06419024379284946,0.17062083550248275,1.169880447806488,0.007448262896839867,0.99,40.1640775510204,38.94759613840262
205.0,0.8215194329103177,-0.5598318242795912,0.06445570972967084,0.26168760863072293,1.381351257189909,0.007503751885204933,0.99,40.5674897959184,38.94515553709048
215.0,1.5218933563204295,-0.9469823556776475,0.0660727982421141,0.5749110006427784,2.468875711998077,0.007887158854163174,0.99,44.89694,38.94206914766652
225.0,0.09573478420778869,-0.3778815552064181,0.06358875425424443,-0.2821467709986294,0.4736163394142068,0.007331212314789489,0.99,40.3652,38.938298405206936
236.0,0.9038060214089931,-0.6406966390710878,0.06471265072949112,0.2631093823379089,1.544502660480081,0.007575834688375505,0.99,41.5853602739726,38.933819852802785
246.0,0.4468685107901642,-0.4377765386301533,0.06377558217549212,0.00909197216001445,0.8846450494203175,0.007381379223379943,0.99,39.8858428082192,38.92862593480672
256.0,0.7553885293278277,-0.5317914430259769,0.06411362296984377,0.22359708630185082,1.2871799723538047,0.007466723563680692,0.99,40.2071352348993,38.922724627627794
266.0,1.6167680496514407,-0.9851337896328722,0.06592030329949279,0.6316342600185649,2.601901839284313,0.007915054946055138,0.99,45.0669979310345,38.91613790450143
277.0,0.21686505104633014,-0.4221248721933435,0.06340998559291504,-0.2052598211470169,0.6389899232396736,0.007359630979006864,0.99,40.4511020408163,38.90889917884804
287.0,0.7568872700400853,-0.5713486419920244,0.06395154743913714,0.18553862804807153,1.3282359120321097,0.007496000166850113,0.99,40.7697775510204,38.901050007753994
297.0,0.5289864442244436,-0.4584262572627047,0.06333269466381841,0.07056018696174249,0.9874127014871483,0.007386705005860107,0.99,39.7156571428572,38.89263643421873
307.0,0.8095583001603082,-0.5564534316452168,0.06361052144505831,0.25310486851509495,1.366011731805525,0.0074754034761896964,0.99,40.2089869127517,38.88370538403149
317.0,1.514175176976373,-0.928921879689593,0.06500369246948562,0.5852532972867763,2.443097056665966,0.007840436890367545,0.99,44.1124129251701,38.87430150352916
328.0,0.3092179483888806,-0.44821626968729333,0.0627969481132996,-0.13899832129841627,0.757434218076174,0.007367911794947834,0.99,40.295733557047,38.864464733919256
338.0,0.4904265206518943,-0.4484567453994117,0.06263877506609757,0.04196977525248258,0.938883266051306,0.007364345488959671,0.99,39.5232601351351,38.85422878347862
